league_name,club,club_id,club_url,average_market_value,total_market_value,average_market_value_eur,total_market_value_eur,source_url
Belgian Pro League,Cercle Brugge,520,https://www.transfermarkt.com/cercle-brugge/startseite/verein/520/saison_id/2025,€1.48m,€39.90m,1480000.0,39900000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,KV Mechelen,354,https://www.transfermarkt.com/kv-mechelen/startseite/verein/354/saison_id/2025,€1.24m,€35.85m,1240000.0,35850000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Royal Charleroi SC,172,https://www.transfermarkt.com/rsc-charleroi/startseite/verein/172/saison_id/2025,€1.23m,€35.80m,1230000.0,35800000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Oud-Heverlee Leuven,2727,https://www.transfermarkt.com/oud-heverlee-leuven/startseite/verein/2727/saison_id/2025,€1.23m,€34.30m,1230000.0,34300000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Sint-Truidense VV,475,https://www.transfermarkt.com/vv-st-truiden/startseite/verein/475/saison_id/2025,€1.12m,€29.13m,1120000.0,29130000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,FCV Dender EH,9010,https://www.transfermarkt.com/fcv-dender-eh/startseite/verein/9010/saison_id/2025,€766k,€19.15m,766000.0,19150000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,Zulte Waregem,3508,https://www.transfermarkt.com/sv-zulte-waregem/startseite/verein/3508/saison_id/2025,€564k,€16.35m,564000.0,16350000.000000002,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Belgian Pro League,RAAL La Louvière,3901,https://www.transfermarkt.com/raal-la-louviere/startseite/verein/3901/saison_id/2025,€474k,€12.80m,474000.0,12800000.0,https://www.transfermarkt.com/jupiler-pro-league/startseite/wettbewerb/BE1
Bundesliga,Bayern Munich,27,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2025,€38.07m,€951.65m,38070000.0,951650000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
Bundesliga,Borussia Dortmund,16,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2025,€17.88m,€500.50m,17880000.0,500500000.0,https://www.transfermarkt.com/bundesliga/startseite/wettbewerb/L1
