club,league_name,country_name,average_rating,coach_name,stadium_name
SK Rapid,Bundesliga,Austria,69,peter stoger,Stadion Europa
Portsmouth,EFL Championship,England,69,john mousinho,Fratton Park
FK Austria Wien,Bundesliga,Austria,68,stephan helm,Stade Municipal
Fatih Karagümrük,Turkish Süper Lig,Türkiye,68,marcel liczka,O Dromo
Sheffield Wednesday,EFL Championship,England,68,henrik pedersen,Ivy Lane
SC Preußen Münster,2. Bundesliga,Germany,68,alexander ende,Stadion 23. Maj
FC Schalke 04,2. Bundesliga,Germany,68,miron muslic,Veltins-Arena
Sparta Rotterdam,Eredivisie,Netherlands,68,maurice steijn,Stadion Neder
APOEL FC,Cypriot First Division,Cyprus,68,pablo gabriel garcia perez,Crown Lane
Karlsruher SC,2. Bundesliga,Germany,68,christian eichner,Waldstadion
Viking FK,Eliteserien,Norway,68,morten jensen,Molton Road
Widzew Łódź,Ekstraklasa,Poland,68,patryk czubak,Stadion Neder
Universitatea Craiova,Liga I,Romania,68,mirel matei radoi,Sanderson Park
Catanzaro,Serie B,Italy,68,alberto aquilani,Stadion 23. Maj
Málaga CF,La Liga 2,Spain,68,sergio pellicer garcia,El Libertador
SV Elversberg,2. Bundesliga,Germany,68,vincent wagner,Court Lane
Central Cordoba SdE,Primera División,Argentina,68,omar de felippe,Sanderson Park
Club Atlético Sarmiento,Primera División,Argentina,68,facundo sava,Arena d'Oro
Córdoba CF,La Liga 2,Spain,68,ivan ania cadavieco,Stade Municipal
Aberdeen,Scottish Premiership,Scotland,68,jimmy thelin,Ivy Lane
Hibernian,Scottish Premiership,Scotland,68,david gray,Ivy Lane
Charlton Athletic,EFL Championship,England,68,nathan jones,Forest Park Stadium (Square Ground)
CA Aldosivi,Primera División,Argentina,68,guillermo martin farre,Estadio Nacional
Vitória SC,Primeira Liga,Portugal,68,luis miguel correia pinto,Stade Municipal
CD Nacional,Primeira Liga,Portugal,68,tiago miguel carvalho margarido,Crown Lane
Shanghai Shenhua,Super League,China PR,68,leonid slutskiy,Stadion Olympik
Bolívar,División de Fútbol Profesional,Bolivia,68,flavio horacio robatto,Estadio Nacional
Fortuna Sittard,Eredivisie,Netherlands,68,danny buijs,Molton Road
Universidad Católica,Primera División,Chile,68,daniel oscar garnero,Arena del Centenario
